;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Diff Bias
1010;Tree;123;0.95;0.35;0.35;0.00;0.00;0.8150545454545455;0.7873836363636364;0.01650655622503776;0.02767090909090908;0.8151674641148325;0.7876727272727273;0.017020970129418483;0.02749473684210524;0.8129090909090909;0.781890909090909;0.053951902187294766;0.031018181818181945;0.002258373205741626;0.005781818181818183;0.05587613029781362;0.003523444976076557
1011;Tree;124;0.95;0.35;0.50;0.15;0.15;0.8145163636363636;0.786569090909091;0.01534988857672159;0.0279472727272726;0.8151913875598086;0.7877186602870814;0.01592547511943926;0.027472727272727204;0.8016909090909091;0.7647272727272728;0.0628600244929282;0.03696363636363631;0.013500478468899457;0.02299138755980861;0.0653556705606763;0.009490909090909154
1012;Tree;125;0.95;0.35;0.65;0.30;0.00;0.8150554545454546;0.7842945454545455;0.016225992978972592;0.030760909090909117;0.8151961722488038;0.7857952153110047;0.016721930304637894;0.029400956937799094;0.8123818181818182;0.7557818181818182;0.05966228298732913;0.056599999999999984;0.0028143540669856026;0.030013397129186603;0.06161653193521293;0.027199043062201
1013;Tree;126;0.95;0.35;0.80;0.45;-0.15;0.817320909090909;0.7870636363636363;0.01653471111433086;0.030257272727272744;0.8152306220095694;0.7865052631578946;0.016823951245562706;0.02872535885167482;0.8570363636363636;0.7976727272727273;0.06458246293662152;0.059363636363636285;-0.04180574162679418;-0.011167464114832536;0.06554084673353193;0.030638277511961645
1014;Tree;127;0.95;0.50;0.05;-0.45;-0.45;0.8093602947059123;0.7756327272727273;0.014145600596222581;0.03372756743318506;0.8027406698564593;0.768156937799043;0.014796936687106963;0.03458373205741627;0.9352613570180548;0.9176727272727273;0.03945487129223549;0.01758862974532749;-0.13252068716159549;-0.14951578947368419;0.04248546395691506;-0.0169951023120887
1015;Tree;128;0.95;0.50;0.20;-0.30;-0.30;0.8051045454545455;0.7706345454545455;0.01626765783710785;0.03447;0.8027368421052632;0.7671521531100479;0.01665943161529908;0.035584688995215275;0.8500909090909091;0.8368;0.04947756202459854;0.013290909090909131;-0.047354066985645926;-0.06964784688995215;0.050559937197510355;-0.022293779904306227
1016;Tree;129;0.95;0.50;0.35;-0.15;-0.15;0.8032518181818182;0.7667872727272728;0.016621803603269623;0.03646454545454547;0.8027645933014355;0.7661626794258374;0.016986152025495988;0.03660191387559808;0.812509090909091;0.7786545454545455;0.06049288090761916;0.03385454545454547;-0.0097444976076555;-0.012491866028708132;0.06169329394608403;-0.002747368421052632
1017;Tree;130;0.95;0.50;0.50;0.00;0.00;0.80276;0.7678327272727272;0.018025311636124385;0.03492727272727281;0.8028133971291866;0.7682105263157895;0.01752302472927336;0.03460287081339719;0.8017454545454545;0.7606545454545455;0.06894157347400552;0.04109090909090907;0.0010679425837321066;0.007555980861244019;0.06560467633424892;0.0064880382775119125
1018;Tree;131;0.95;0.50;0.65;0.15;-0.15;0.8032590909090909;0.76872;0.016872870843214673;0.03453909090909091;0.8027904306220096;0.7684631578947368;0.016628105490217912;0.03432727272727276;0.8121636363636363;0.7736000000000001;0.06273476128291271;0.038563636363636244;-0.0093732057416267;-0.005136842105263158;0.060655704943388754;0.004236363636363542
1019;Tree;132;0.95;0.50;0.80;0.30;-0.30;0.8055172727272727;0.7684272727272727;0.016474442916695746;0.037089999999999956;0.8027894736842105;0.7658909090909091;0.01716710164472461;0.03689856459330143;0.8573454545454545;0.8166181818181818;0.05092424135265965;0.04072727272727272;-0.054555980861244024;-0.050727272727272725;0.05394550044901978;0.0038287081339712994
1020;Tree;133;0.95;0.50;0.95;0.45;-0.45;0.8092248389721491;0.7757363636363636;0.016990663498918056;0.033488475335785584;0.8027846889952153;0.7688612440191387;0.017484155999846995;0.03392344497607658;0.9316656053852451;0.9063636363636364;0.05021859815443005;0.02530196902160875;-0.12888091639002985;-0.13750239234449763;0.05187508465372458;-0.008621475954467772
1021;Tree;134;0.95;0.65;0.20;-0.45;-0.15;0.8168818181818182;0.7859036363636364;0.017271531939361175;0.030978181818181794;0.8151253588516746;0.7843138755980862;0.018224734086057105;0.0308114832535884;0.8502545454545455;0.8161090909090909;0.05619497437397351;0.03414545454545459;-0.0351291866028709;-0.031795215311004786;0.060718821775255005;0.0033339712918661127
1022;Tree;135;0.95;0.65;0.35;-0.30;0.00;0.8150381818181818;0.7838;0.017493063939015924;0.03123818181818172;0.8151665071770335;0.7842315789473684;0.01726875357961605;0.03093492822966515;0.8126;0.7756;0.0598503294124873;0.03700000000000003;0.00256650717703355;0.00863157894736842;0.05738057038635072;0.0060650717703348705
1023;Tree;136;0.95;0.65;0.50;-0.15;0.15;0.8144509090909091;0.7807072727272727;0.015527393439051344;0.03374363636363642;0.8151368421052632;0.7813837320574163;0.016034502030309893;0.03375311004784687;0.8014181818181818;0.7678545454545455;0.05658895931431792;0.03356363636363635;0.013718660287081352;0.013529186602870814;0.05862738023803042;-0.00018947368421053795
1024;Tree;137;0.95;0.65;0.65;0.00;0.00;0.8149663636363637;0.7818636363636364;0.018311053164452053;0.03310272727272723;0.8151234449760766;0.7816803827751196;0.01812210095217142;0.03344306220095694;0.8119818181818181;0.7853454545454546;0.05514485583461705;0.02663636363636357;0.0031416267942584453;-0.003665071770334929;0.05206132093564551;-0.006806698564593374
1025;Tree;138;0.95;0.65;0.80;0.15;-0.15;0.81721;0.7879490909090908;0.01725711355373941;0.02926090909090917;0.8150966507177033;0.7852669856459331;0.017258419532940522;0.029829665071770206;0.8573636363636363;0.8389090909090909;0.057401939105011075;0.01845454545454539;-0.04226698564593301;-0.0536421052631579;0.056176705226566724;-0.011375119617224892
1026;Tree;139;0.95;0.65;0.95;0.30;-0.30;0.8208943011823103;0.7915363636363637;0.016271309285931984;0.029357937545946622;0.8150746411483254;0.7843215311004784;0.017015090663804026;0.030753110047846977;0.9315382516146639;0.9286181818181818;0.04198077923845378;0.002920069796482072;-0.11646361046633846;-0.14429665071770334;0.0455149322351364;-0.027833040251364877
1027;Tree;140;0.95;0.80;0.35;-0.45;0.15;0.8488409090909091;0.83468;0.01474517487686607;0.014160909090909168;0.8507473684210526;0.8391693779904307;0.01457292284227223;0.01157799043062191;0.8126181818181818;0.7493818181818184;0.06993608607236831;0.06323636363636342;0.03812918660287079;0.08978755980861244;0.06941624271704436;0.05165837320574165
1028;Tree;141;0.95;0.80;0.50;-0.30;0.30;0.8483409090909091;0.8339563636363636;0.015588220806703032;0.014384545454545483;0.8507971291866029;0.8380727272727273;0.01597666651432989;0.012724401913875583;0.8016727272727273;0.7557454545454546;0.06165956780342837;0.045927272727272705;0.04912440191387557;0.08232727272727274;0.06317788860892029;0.033202870813397165
1029;Tree;142;0.95;0.80;0.65;-0.15;0.15;0.8488627272727273;0.8380036363636363;0.013396162945134385;0.010859090909090985;0.8508;0.8407215311004785;0.0131517066178373;0.010078468899521464;0.8120545454545455;0.7863636363636364;0.060798081300722916;0.025690909090909098;0.03874545454545453;0.054357894736842105;0.05976835467095241;0.015612440191387578
1030;Tree;143;0.95;0.80;0.80;0.00;0.00;0.8511227272727273;0.8402018181818182;0.014667324760559684;0.010920909090909148;0.8507875598086124;0.8399196172248804;0.014824832343117045;0.010867942583732026;0.8574909090909091;0.8455636363636364;0.04702003744340282;0.011927272727272675;-0.006703349282296656;-0.005644019138755981;0.046836929138554965;0.0010593301435406748
1031;Tree;144;0.95;0.80;0.95;0.15;-0.15;0.8548562908819826;0.8479672727272728;0.012820706364086127;0.0068890181547097695;0.8508181818181818;0.8427387559808613;0.013210444249536697;0.008079425837320464;0.9316292185936506;0.9473090909090909;0.03258776728445087;-0.015679872315440324;-0.08081103677546875;-0.10457033492822967;0.03387831554930538;-0.023759298152760927
1032;Tree;145;0.95;0.95;0.50;-0.45;0.45;0.9236072727272727;0.9358327272727273;0.008634936757350553;-0.01222545454545454;0.9300277511961722;0.9466928229665071;0.008294811368478743;-0.016665071770334938;0.8016181818181818;0.7294909090909092;0.07240416635237903;0.0721272727272726;0.12840956937799042;0.2172019138755981;0.07297003470241693;0.08879234449760767
1033;Tree;146;0.95;0.95;0.65;-0.30;0.30;0.9241236363636364;0.9378927272727273;0.008279792033533333;-0.013769090909090953;0.9300086124401914;0.947041148325359;0.007830381554345199;-0.01703253588516762;0.8123090909090909;0.7640727272727272;0.05730557675601008;0.04823636363636363;0.11769952153110053;0.18296842105263159;0.05691926540390041;0.06526889952153106
1034;Tree;147;0.95;0.95;0.80;-0.15;0.15;0.9263454545454546;0.9425745454545456;0.00821638635910697;-0.01622909090909097;0.929978947368421;0.9474411483253591;0.00816272531120042;-0.017462200956938068;0.8573090909090909;0.850109090909091;0.038849423354570055;0.007199999999999873;0.0726698564593301;0.09733205741626794;0.03873077390010971;0.02466220095693783
