;Classifier;Exp. Group;Ratio Men;Prob Men;Prob Women;Prob Diff;Informativeness Diff;Lower Bound Bias;Mean Bias;Upper Bound Bias;Width_Confidence_Intervall;SD Bias;Significant_Bias
52;SVM;53;0.65;0.50;0.05;-0.45;-0.45;-0.15079213280230402;-0.1481194805194805;-0.145446828236657;0.005345304565647051;0.0006870857384063531;Yes
53;SVM;54;0.65;0.50;0.20;-0.30;-0.30;-0.0624691485749516;-0.058722077922077925;-0.05497500726920425;0.007494141305747355;0.0009632973293744713;Yes
54;SVM;55;0.65;0.50;0.35;-0.15;-0.15;-0.009915810723527884;-0.005902097902097902;-0.0018883850806679196;0.008027425642859964;0.0010318457269532359;Yes
55;SVM;56;0.65;0.50;0.50;0.00;0.00;-0.002548740437469274;0.002047152847152847;0.006643046131774968;0.009191786569244242;0.0011815127435003848;No
56;SVM;57;0.65;0.50;0.65;0.15;-0.15;-0.018253318743564513;-0.01387972027972028;-0.009506121815876045;0.00874719692768847;0.0011243651668928045;Yes
57;SVM;58;0.65;0.50;0.80;0.30;-0.30;-0.06529993425709357;-0.0613966033966034;-0.05749327253611323;0.00780666172098034;0.0010034687204767522;Yes
58;SVM;59;0.65;0.50;0.95;0.45;-0.45;-0.15093760157882335;-0.14830049950049948;-0.1456633974221756;0.005274204156647737;0.0006779464879822991;Yes
59;SVM;60;0.65;0.65;0.20;-0.45;-0.15;-0.04736522972290583;-0.04386933066933068;-0.04037343161575553;0.0069917981071502995;0.0008987261074164787;Yes
60;SVM;61;0.65;0.65;0.35;-0.30;0.00;0.005102190630435086;0.009097302697302696;0.013092414764170307;0.007990224133735221;0.0010270638429552546;Yes
61;SVM;62;0.65;0.65;0.50;-0.15;0.15;0.014454500249025226;0.018551048951048952;0.022647597653072678;0.00819309740404745;0.0010531411841101857;Yes
62;SVM;63;0.65;0.65;0.65;0.00;0.00;-0.0016021156277857625;0.0023192807192807196;0.006240677066347202;0.007842792694132964;0.00100811299772289;No
63;SVM;64;0.65;0.65;0.80;0.15;-0.15;-0.049439964383102046;-0.0458897102897103;-0.04233945619631855;0.007100508186783494;0.0009126997069410075;Yes
64;SVM;65;0.65;0.65;0.95;0.30;-0.30;-0.1360866595388922;-0.1336835164835165;-0.1312803734281408;0.004806286110751413;0.0006178002770171592;Yes
65;SVM;66;0.65;0.80;0.35;-0.45;0.15;0.050286601194698265;0.054049150849150844;0.05781170050360342;0.007525099308905164;0.0009672766727772722;Yes
66;SVM;67;0.65;0.80;0.50;-0.30;0.30;0.060018867451738483;0.0640967032967033;0.06817453914166813;0.008155671689929651;0.0010483304807902523;Yes
