;Exp. Group;Lower Bound Bias;Mean Bias;Upper Bound Bias;SD Bias;Lower Bound NO SEX;Mean NO SEX;Upper Bound NO SEX;SD NO SEX;Lower Bound NO SEX INF;Mean NO SEX INF;Upper Bound NO SEX INF;SD NO SEX INF
58;59;-0.15806734025052763;-0.1553138861138861;-0.1525604319772446;0.0007633334801151569;-0.15074789803539848;-0.14776743256743258;-0.14478696709946667;0.0008262672865147021;-0.13944602571129522;-0.1360907092907093;-0.13273539287012337;0.0009301863162091437
59;60;-0.04938015392617005;-0.04553366633366634;-0.04168717874116262;0.001066352521050875;-0.045288836269039;-0.04137662337662337;-0.03746441048420775;0.0010845733881594758;-0.035764012771335625;-0.031740259740259735;-0.027716506709183845;0.0011154953930271215
60;61;-0.002015249976264825;0.001783016983016983;0.0055812839422987905;0.0010529844306654905;-0.0028903967556155076;0.0013610389610389615;0.00561247467769343;0.0011786153173548417;0.0008624903513060724;0.004923076923076923;0.008983663494847773;0.0011257066670881234
61;62;0.01062788668634449;0.014479520479520478;0.01833115427269647;0.0010677791899088244;0.010999020513513315;0.014696103896103898;0.018393187278694483;0.0010249335506096417;0.011331111955566695;0.015237162837162838;0.019143213718758982;0.0010828651086930597
62;63;-0.0044553372144610385;-0.0007024975024975027;0.0030503422094660332;0.001040390743948121;-0.004396394113626342;-0.0006585414585414581;0.0030793111965434264;0.001036235918148909;-0.0046077725937242065;-0.0009802197802197801;0.002647333033284646;0.0010056577578631313
63;64;-0.04933017187872865;-0.04565914085914086;-0.041988109839553076;0.001017711116557988;-0.04862254549489942;-0.04498061938061938;-0.04133869326633934;0.0010096424335313354;-0.04823786597642016;-0.04448071928071928;-0.04072357258501841;0.0010415847587098971
64;65;-0.13856212618290853;-0.13602317682317683;-0.13348422746344513;0.000703866835771623;-0.13545626701361962;-0.13281998001998002;-0.13018369302634042;0.0007308515143425628;-0.1289806934524353;-0.12635244755244757;-0.12372420165245983;0.0007286223012536192
65;66;0.04735095475900149;0.05103056943056943;0.05471018410213738;0.0010200907417897709;0.04899705059722829;0.052622177822177825;0.05624730504712736;0.001004985317771143;0.05452694085884439;0.058179420579420583;0.06183190029999678;0.0010125681844688963
66;67;0.059482873089005135;0.06326593406593407;0.06704899504286302;0.001048768912682633;0.061923679040757414;0.06574745254745255;0.0695712260541477;0.0010600555495716112;0.06324537216969665;0.06728511488511489;0.07132485760053313;0.001119928174831096
67;68;0.043835238616049835;0.047809790209790204;0.05178434180353057;0.0011018553966719248;0.0443512437874311;0.04811348651348651;0.051875729239541916;0.0010429975189711024;0.04530120768837959;0.04911408591408591;0.05292696413979223;0.0010570350769792578
