;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Lower Bound Bias;Upper Bound Bias;Significance Bias;Diff Bias
2233;NB_FAIR;14;0.50;0.35;0.65;0.30;0.00;0.8154445454545455;0.8138927272727273;0.011662268562811016;0.0015518181818181542;0.8160854545454546;0.8163963636363637;0.018076824152826902;-0.00031090909090913943;0.8148036363636364;0.811389090909091;0.015281376366444279;0.003414545454545448;0.0012818181818181618;0.005007272727272727;0.02401145639243434;-0.09010301059161124;0.10011755604615669;No;0.0037254545454545656
2234;NB_FAIR;15;0.50;0.35;0.80;0.45;-0.15;0.8335963636363637;0.83242;0.01125559808096805;0.001176363636363642;0.81614;0.8168799999999999;0.016505123121418594;-0.0007399999999999629;0.8510527272727273;0.8479599999999998;0.014543141023165267;0.003092727272727469;-0.03491272727272732;-0.031080000000000003;0.021473009279198707;-0.116135398676155;0.053975398676154994;No;0.003832727272727314
2235;NB_FAIR;16;0.50;0.50;0.05;-0.45;-0.45;0.8667018181818181;0.8639981818181819;0.010317103258134681;0.0027036363636362415;0.803730909090909;0.8051781818181818;0.01533574097169263;-0.0014472727272727415;0.9296727272727273;0.9228181818181819;0.01108370357094075;0.0068545454545454465;-0.12594181818181827;-0.11764;0.017038086554617072;-0.18512850269373465;-0.050151497306265336;Yes;0.008301818181818271
2236;NB_FAIR;17;0.50;0.50;0.20;-0.30;-0.30;0.8264218181818181;0.8242345454545453;0.012143851175706622;0.0021872727272728154;0.8036672727272727;0.80408;0.01548702259481978;-0.00041272727272734233;0.8491763636363636;0.8443890909090909;0.0164845091794659;0.004787272727272751;-0.04550909090909094;-0.040309090909090906;0.020815411068961925;-0.12275971830176316;0.04214153648358135;No;0.005200000000000038
2237;NB_FAIR;18;0.50;0.50;0.35;-0.15;-0.15;0.8085536363636364;0.8069236363636364;0.012491803704616373;0.0016300000000000203;0.8035672727272727;0.8050436363636364;0.015398823833641079;-0.00147636363636372;0.81354;0.8088036363636364;0.018560234865556316;0.00473636363636365;-0.009972727272727355;-0.0037599999999999995;0.023217052962630318;-0.09572362140703257;0.08820362140703257;No;0.006212727272727356
2238;NB_FAIR;19;0.50;0.50;0.50;0.00;0.00;0.8030209090909091;0.8036018181818182;0.01256268784990856;-0.0005809090909091319;0.8037381818181818;0.8049781818181819;0.015647164828811514;-0.0012400000000001299;0.8023036363636363;0.8022254545454546;0.018133488208333073;7.818181818175507e-05;0.0014345454545454661;0.0027527272727272726;0.022716289739007575;-0.08722735214101565;0.09273280668647019;No;0.0013181818181818065
2239;NB_FAIR;20;0.50;0.50;0.65;0.15;-0.15;0.80923;0.8084345454545455;0.012568583700683972;0.0007954545454544881;0.80368;0.8046763636363636;0.016527087261419653;-0.000996363636363684;0.81478;0.8121927272727273;0.01712312483765721;0.0025872727272726603;-0.011099999999999999;-0.007516363636363637;0.022378892960572286;-0.09616000170046939;0.0811272744277421;No;0.0035836363636363618
2240;NB_FAIR;21;0.50;0.50;0.80;0.30;-0.30;0.8273609090909091;0.8253490909090909;0.012205807580756779;0.00201181818181817;0.8036781818181818;0.8039054545454546;0.015368875630164107;-0.00022727272727274261;0.8510436363636363;0.8467927272727273;0.015707618312731368;0.004250909090909083;-0.04736545454545449;-0.04288727272727273;0.019233727345316417;-0.11907279130612929;0.03329824585158382;No;0.004478181818181756
2241;NB_FAIR;22;0.50;0.50;0.95;0.45;-0.45;0.8674472727272727;0.8637745454545455;0.010818425525439393;0.003672727272727272;0.8036909090909091;0.8041163636363636;0.015582470694528878;-0.00042545454545450667;0.9312036363636363;0.9234327272727273;0.014322273716996658;0.007770909090909051;-0.12751272727272722;-0.11931636363636362;0.020681598374954913;-0.20123695390714436;-0.037395773365582904;Yes;0.008196363636363599
2242;NB_FAIR;23;0.50;0.65;0.20;-0.45;-0.15;0.83194;0.8283527272727271;0.011664056765771421;0.0035872727272728833;0.81468;0.8128945454545455;0.017867753598185477;0.0017854545454544235;0.8492;0.8438109090909091;0.016412950512544655;0.005389090909090899;-0.034519999999999995;-0.030916363636363638;0.02516112567841249;-0.1305805303068153;0.06874780303408803;No;0.0036036363636363575
2243;NB_FAIR;24;0.50;0.65;0.35;-0.30;0.00;0.8141427272727273;0.8124527272727272;0.012879734502482778;0.0016900000000000803;0.8146890909090909;0.8139563636363636;0.017239286302432984;0.0007327272727273293;0.8135963636363637;0.8109490909090908;0.01788307370726314;0.0026472727272728314;0.0010927272727272452;0.003007272727272728;0.023883977714265668;-0.09159806274506746;0.09761260819961293;No;0.0019145454545454826
2244;NB_FAIR;25;0.50;0.65;0.50;-0.15;0.15;0.8085409090909091;0.8077799999999999;0.01286587528357031;0.0007609090909092009;0.8147145454545455;0.8132181818181818;0.017551164766656784;0.001496363636363629;0.8023672727272727;0.8023418181818182;0.017514383273769765;2.5454545454550725e-05;0.012347272727272762;0.010876363636363637;0.023821650341740386;-0.08348209076543603;0.10523481803816331;No;-0.0014709090909091251
2245;NB_FAIR;26;0.50;0.65;0.65;0.00;0.00;0.8147554545454545;0.8119145454545454;0.011878021800271666;0.0028409090909090606;0.8146981818181818;0.8131709090909092;0.0173071436520955;0.0015272727272725994;0.8148127272727272;0.8106581818181818;0.016976450965928508;0.004154545454545411;-0.00011454545454547826;0.002512727272727273;0.024720934651318787;-0.09540782615673397;0.10043328070218853;No;0.002627272727272751
2246;NB_FAIR;27;0.50;0.65;0.80;0.15;-0.15;0.83294;0.8298854545454546;0.013190614842398985;0.003054545454545421;0.8147436363636363;0.8126290909090909;0.01850763316879944;0.00211454545454548;0.8511363636363637;0.8471418181818182;0.016975442360022037;0.003994545454545473;-0.036392727272727354;-0.03451272727272727;0.023778708501020113;-0.12870108742574884;0.059675632880294295;No;0.001880000000000083
2247;NB_FAIR;28;0.50;0.65;0.95;0.30;-0.30;0.8729518181818182;0.86804;0.01175455730711876;0.004911818181818184;0.8147036363636364;0.813610909090909;0.01741221722888741;0.0010927272727273563;0.9312;0.922469090909091;0.012947629875410678;0.008730909090909011;-0.11649636363636362;-0.10885818181818181;0.019722433584317862;-0.1869794842200379;-0.030736879416325705;Yes;0.007638181818181808
